Sector,Ticket type,Year,Fare_Index,YoY_Change,Cumulative_Inflation
Long distance,Advance,2014,166.760429105627,2.320306513820455,66.760429105627
Long distance,Advance,2015,171.930684749073,3.100409174511744,71.93068474907301
Long distance,Advance,2016,171.731759305451,-0.11570095466806371,71.73175930545099
Long distance,Advance,2017,165.789048553063,-3.4604611147190214,65.789048553063
Long distance,Advance,2018,166.307520012484,0.3127296187208951,66.30752001248399
Long distance,Advance,2019,170.951690556319,2.792519871312124,70.951690556319
Long distance,Advance,2020,173.374519738033,1.4172595625287607,73.374519738033
Long distance,Advance,2021,164.832550255902,-4.926888619526001,64.83255025590199
Long distance,Advance,2022,179.521116262522,8.911204724926037,79.52111626252201
Long distance,Advance,2023,190.26008549113823,5.982008942564796,90.26008549113823
Long distance,Advance,2024,196.44375699884503,3.250114963285257,96.44375699884503
Long distance,Advance,2025,207.95322785142375,5.858914036472222,107.95322785142375
Long distance,All tickets,2004,100,NA,0
Long distance,All tickets,2005,104.738537127975,4.738537127974993,4.738537127974993
Long distance,All tickets,2006,113.150127712686,8.031036918563498,13.150127712686
Long distance,All tickets,2007,120.680786503751,6.655457614848704,20.680786503750994
Long distance,All tickets,2008,128.608779470661,6.569391198543103,28.608779470661005
Long distance,All tickets,2009,139.410735694588,8.39908151557507,39.410735694588
Long distance,All tickets,2010,140.655695019188,0.8930153896665214,40.65569501918799
Long distance,All tickets,2011,148.271116472799,5.414229016871403,48.27111647279901
Long distance,All tickets,2012,157.280684034166,6.076414460007008,57.280684034166
Long distance,All tickets,2013,163.71023935086,4.087949741684311,63.71023935086001
Long distance,All tickets,2014,167.898892671359,2.558577482451761,67.898892671359
Long distance,All tickets,2015,171.202504508575,1.9676197887036788,71.202504508575
Long distance,All tickets,2016,172.220759600675,0.5947664696978718,72.220759600675
Long distance,All tickets,2017,173.102053653382,0.5117234732621347,73.102053653382
Long distance,All tickets,2018,177.112915826322,2.317050600087801,77.112915826322
Long distance,All tickets,2019,182.170628683122,2.8556431546526135,82.170628683122
Long distance,All tickets,2020,186.195589087371,2.2094453059445893,86.19558908737099
Long distance,All tickets,2021,184.068776044109,-1.1422467383284776,84.068776044109
